date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Sleep Tranquility Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
4/12/20,87,95,92,77,97,50,91,100,31620,29130,2490,6060,19380,3690,49,92,720,15900,,2020-04-11T21:57:58-07:00,2020-04-12T06:44:58-07:00,52.88,50,26,0.26,16,86,97,100,60,71,98,100,652,2950,500,11997,11866,343,647,415,34,1,0,1.53125,0,74,84,100,38,46,82,64,60,95
4/13/20,67,58,90,33,58,66,86,100,27300,20160,7140,5940,12600,1620,35,74,570,15690,,2020-04-12T21:35:20-07:00,2020-04-13T05:10:20-07:00,51.49,47,37,-0.02,15.875,87,100,100,60,71,97,100,338,2511,350,5945,6297,140,456,149,23,2,670,1.3125,0,69,34,92,77,32,100,83,72,70
4/14/20,85,84,68,95,99,71,89,100,28140,26430,1710,4470,16980,4980,36,94,660,13860,,2020-04-13T21:22:29-07:00,2020-04-14T05:11:29-07:00,52.47,46,32,0.17,16,87,100,100,60,71,97,100,218,2373,500,3852,3922,131,456,116,16,1,720,1.25,0,75,79,89,0,38,91,92,77,41
4/15/20,95,97,98,96,99,81,94,100,32160,30150,2010,7680,16980,5490,32,94,1020,16320,,2020-04-14T21:15:31-07:00,2020-04-15T06:11:31-07:00,50.62,47,33,0.16,15.875,86,100,100,60,71,96,100,109,2222,600,1596,1834,73,507,53,9,2,796,1.15625,0,85,100,92,0,46,91,74,83,100
4/16/20,82,82,58,89,99,70,78,100,27540,25950,1590,3840,17880,4230,37,94,420,13620,,2020-04-15T21:55:23-07:00,2020-04-16T05:34:23-07:00,53.92,48,28,0.16,16.125,85,100,100,60,71,87,100,290,2447,500,5223,5521,111,445,113,23,1,747,1.28125,0,75,71,89,0,54,91,83,83,44
4/17/20,78,70,73,96,67,74,89,100,29760,23190,6570,4800,12630,5760,37,78,1110,14520,,2020-04-16T21:10:29-07:00,2020-04-17T05:26:29-07:00,55.05,52,23,0.28,16.125,77,100,100,43,40,80,100,301,2458,500,5718,5633,105,439,95,39,1,761,1.28125,0,70,62,82,0,62,81,39,77,100
4/18/20,93,96,97,90,99,79,91,96,31800,29910,1890,7290,18300,4320,36,94,1080,15990,,2020-04-17T22:40:02-07:00,2020-04-18T07:30:02-07:00,51.71,47,29,0.03,15.875,64,99,95,25,1,58,100,178,2377,600,3257,2844,320,567,180,3,0,370,1.25,1,85,100,86,0,69,100,84,80,82
4/19/20,90,94,98,96,100,74,67,100,29880,28800,1080,8130,14850,5820,38,96,150,14730,,2020-04-18T22:04:51-07:00,2020-04-19T06:22:51-07:00,51.59,48,28,0.01,16,58,100,100,1,1,51,100,198,2346,600,3750,3603,109,538,133,10,0,650,1.21875,0,86,92,88,93,77,100,84,79,87
4/20/20,81,82,75,62,97,67,86,100,28200,25950,2250,4980,18000,2970,40,92,570,14100,,2020-04-19T21:22:12-07:00,2020-04-20T05:12:12-07:00,52.19,48,27,0.06,16.25,57,100,100,1,1,48,100,233,2410,500,3930,4282,166,400,127,9,3,735,1.28125,0,78,69,86,0,82,100,75,78,69
4/21/20,83,72,83,98,97,67,94,100,25860,23670,2190,5430,11220,7020,37,92,1020,13140,,2020-04-20T22:12:24-07:00,2020-04-21T05:23:24-07:00,52.45,49,34,-0.09,16.25,58,100,100,1,1,50,100,220,2396,500,3587,3666,153,436,127,17,2,705,1.25,0,80,75,81,0,85,100,66,84,96
4/22/20,84,85,87,89,90,59,89,100,30480,26700,3780,5700,16740,4260,39,88,1140,15210,,2020-04-21T21:52:51-07:00,2020-04-22T06:20:51-07:00,52,48,29,0.14,16.125,57,100,100,1,1,46,100,81,2195,500,1301,1330,115,510,44,3,3,765,1.15625,0,83,78,81,0,89,92,76,85,99
4/23/20,88,84,96,96,97,80,81,100,28800,26580,2220,6780,13920,5880,31,92,1290,14730,,2020-04-22T21:36:28-07:00,2020-04-23T05:36:28-07:00,52.51,49,26,0.14,16.125,57,100,100,1,1,49,100,263,2409,500,4464,4896,43,478,109,20,3,787,1.25,0,80,88,81,0,93,93,76,82,58
4/24/20,86,80,97,96,97,74,81,100,27720,25560,2160,7080,12930,5550,36,92,1290,14130,,2020-04-23T21:33:59-07:00,2020-04-24T05:15:59-07:00,51.06,48,26,-0.06,15.875,57,100,100,1,1,47,100,191,2330,600,3308,3528,95,486,113,11,0,735,1.21875,0,85,83,79,0,96,100,85,80,100
4/25/20,90,100,99,96,86,69,67,100,38820,33330,5490,8490,19260,5580,38,86,1620,19410,,2020-04-24T20:50:02-07:00,2020-04-25T07:37:02-07:00,53.58,49,26,0.19,16.5,57,100,100,1,1,45,100,112,2248,600,2005,1820,149,569,76,10,0,636,1.1875,0,86,93,88,0,99,89,68,77,100
4/26/20,91,94,96,77,96,78,94,100,31680,28800,2880,6750,18360,3690,30,91,750,16080,,2020-04-25T21:53:07-07:00,2020-04-26T06:41:07-07:00,55.3,51,23,0.22,16.625,57,100,100,1,1,49,100,335,2513,500,5929,6234,174,547,174,20,2,523,1.3125,0,81,95,91,0,98,86,60,71,62
4/27/20,88,85,91,81,99,78,97,100,28560,26790,1770,5970,16920,3900,28,94,960,14520,,2020-04-26T21:23:36-07:00,2020-04-27T05:19:36-07:00,50.53,48,27,0.04,16.5,57,100,100,1,1,49,100,227,2380,600,4158,4291,113,449,111,13,1,753,1.25,0,89,87,91,89,100,100,88,71,100
4/28/20,80,79,87,73,99,57,81,100,27060,25290,1770,5670,16080,3540,42,93,450,13530,,2020-04-27T21:41:10-07:00,2020-04-28T05:12:10-07:00,47.7,45,34,-0.11,15.375,57,100,100,1,1,44,100,183,2341,600,3321,3371,127,438,117,7,0,751,1.21875,0,88,67,88,0,100,100,100,78,100
4/29/20,90,96,95,87,95,63,91,100,33360,29940,3420,6360,19410,4170,41,90,1050,17070,,2020-04-28T21:24:33-07:00,2020-04-29T06:40:33-07:00,51.4,46,26,0.27,16.375,56,100,100,1,1,41,100,85,2199,600,1431,1415,130,541,63,5,1,700,1.15625,0,86,93,92,0,99,82,95,76,52
4/30/20,81,85,95,39,97,64,81,100,28980,26700,2280,6390,18420,1890,40,92,1320,14820,,2020-04-29T21:18:21-07:00,2020-04-30T05:21:21-07:00,50.96,48,28,0.03,16.5,52,68,95,1,1,45,100,451,2767,500,8442,7902,610,499,306,25,0,0,1.4375,1,84,70,90,0,97,100,78,77,100
5/1/20,88,84,90,96,97,77,91,100,28740,26520,2220,5910,15480,5130,36,92,720,14040,,2020-04-30T21:33:16-07:00,2020-05-01T05:32:16-07:00,52.43,50,25,0.17,16.5,57,100,100,1,1,45,100,181,2333,500,3516,3321,117,467,104,16,0,736,1.21875,0,83,88,89,70,91,91,69,75,100
5/2/20,92,100,96,73,98,72,94,100,34980,32700,2280,6630,22530,3540,34,93,1020,17700,,2020-05-01T21:55:09-07:00,2020-05-02T07:38:09-07:00,55.54,49,24,0.11,16.5,56,100,100,1,1,43,100,193,2349,500,3431,3097,195,622,159,8,1,455,1.21875,0,80,98,95,0,93,95,70,71,28
5/3/20,89,100,90,97,98,60,67,100,36120,33630,2490,5910,21390,6330,41,93,180,17670,,2020-05-02T21:21:45-07:00,2020-05-03T07:23:45-07:00,50.05,44,30,0.01,15.875,57,100,100,1,1,45,100,328,2512,650,5625,5922,158,557,193,15,3,514,1.3125,0,93,90,100,93,94,100,100,76,91
5/4/20,83,81,75,95,96,79,64,100,28260,25800,2460,4950,15990,4860,35,91,1680,14730,,2020-05-03T21:58:49-07:00,2020-05-04T05:49:49-07:00,51.53,48,25,0.02,16.625,58,100,100,1,1,51,100,231,2387,500,4233,4201,90,478,84,26,2,760,1.25,0,84,75,100,90,92,100,79,73,64
5/5/20,85,80,83,85,100,83,78,100,26580,25530,1050,5460,15990,4080,36,96,390,13230,,2020-05-04T21:49:36-07:00,2020-05-05T05:12:36-07:00,50.72,47,26,-0.17,16.25,58,100,100,1,1,51,100,159,2345,600,2727,2590,202,422,119,13,0,684,1.21875,0,88,80,97,0,93,99,88,72,100
5/6/20,90,97,96,96,98,69,67,100,32580,30180,2400,6900,17670,5610,33,93,180,15630,,2020-05-05T22:07:17-07:00,2020-05-06T07:10:17-07:00,50.27,46,26,0.07,15.875,57,100,100,1,1,46,100,104,2216,650,1717,1850,131,552,67,4,1,685,1.15625,0,91,93,99,91,96,99,88,72,100
5/7/20,84,82,69,80,100,76,89,100,27240,26010,1230,4530,17670,3810,34,95,660,13560,,2020-05-06T21:51:04-07:00,2020-05-07T05:25:04-07:00,54.78,49,24,0.21,16.5,57,100,100,1,1,50,100,286,2450,500,5070,5415,113,476,134,23,0,694,1.28125,0,76,78,95,0,99,87,70,69,18
5/8/20,91,95,97,92,96,67,97,100,32100,29160,2940,7050,17700,4410,33,91,930,15900,,2020-05-07T21:24:03-07:00,2020-05-08T06:19:03-07:00,52.83,49,24,0.1,15.75,70,95,95,25,40,72,100,635,2908,600,12403,11840,394,513,304,56,2,171,1.53125,1,88,95,96,0,99,96,71,67,100
5/9/20,89,100,98,76,96,62,72,100,39420,35820,3600,7620,24540,3660,41,91,1470,20220,,2020-05-08T21:21:47-07:00,2020-05-09T08:18:47-07:00,53.89,49,30,0.12,16,71,100,100,25,40,75,100,364,2576,500,6561,6324,211,583,247,18,4,377,1.34375,0,83,90,100,71,83,95,71,73,79
5/10/20,88,93,97,95,97,62,67,100,31320,28650,2670,7290,16590,4770,38,91,180,15210,,2020-05-09T22:41:21-07:00,2020-05-10T07:23:21-07:00,50.81,47,28,0.29,16,73,100,100,25,40,82,100,443,2632,650,7819,8112,144,600,224,31,4,437,1.375,0,91,87,100,88,80,80,98,75,100
5/11/20,94,100,100,96,97,70,94,100,35100,32280,2820,9180,17940,5160,39,92,1020,17550,,2020-05-10T21:10:43-07:00,2020-05-11T06:55:43-07:00,49.45,46,27,-0.14,16,70,100,100,25,40,68,100,13,2093,650,245,210,64,559,13,0,0,804,1.09375,0,93,100,100,87,78,100,100,75,100
5/12/20,78,71,85,80,83,66,89,100,27300,23250,4050,5580,13860,3810,39,85,1140,13920,,2020-05-11T21:38:12-07:00,2020-05-12T05:13:12-07:00,47.96,45,33,-0.14,15.375,69,100,100,25,40,59,100,203,2363,600,3537,3737,110,440,125,9,1,755,1.25,0,89,62,100,0,83,100,100,83,98
5/13/20,88,95,96,72,95,64,86,100,32460,29250,3210,6720,19080,3450,34,90,1170,16560,,2020-05-12T21:35:01-07:00,2020-05-13T06:36:01-07:00,51.4,49,26,0.14,16.125,68,100,100,25,40,54,100,126,2237,600,1907,2173,75,523,53,12,2,775,1.15625,0,89,87,100,0,86,92,78,81,100
5/14/20,83,78,77,76,100,73,97,100,26580,25110,1470,5070,16380,3660,37,94,840,13320,,2020-05-13T21:59:52-07:00,2020-05-14T05:22:52-07:00,51.61,46,33,0.14,16.125,68,100,100,25,40,53,100,258,2416,500,4711,4857,77,410,105,22,2,824,1.28125,0,83,75,95,0,90,93,100,86,31
5/15/20,86,89,96,96,98,62,67,100,29700,27690,2010,6690,15720,5280,40,93,150,14460,,2020-05-14T22:27:51-07:00,2020-05-15T06:42:51-07:00,49.19,46,29,-0.11,15.5,58,100,100,1,1,52,100,206,2341,650,3485,3613,110,533,99,18,3,677,1.21875,0,91,83,93,0,93,100,95,87,100
5/16/20,88,97,97,80,99,67,67,100,32520,30690,1830,7260,19590,3840,43,94,180,15900,,2020-05-15T22:16:51-07:00,2020-05-16T07:18:51-07:00,51.95,48,30,0.33,15.875,58,100,100,1,1,52,100,168,2311,650,2781,2860,186,563,92,13,2,584,1.21875,0,92,88,95,0,96,76,86,87,99
5/17/20,94,97,95,96,97,81,91,100,33000,30420,2580,6300,18480,5640,35,92,720,15960,,2020-05-16T21:57:45-07:00,2020-05-17T07:07:45-07:00,49.81,45,29,0.13,16.375,59,100,100,1,1,59,100,434,2667,700,7532,7709,250,554,274,25,1,336,1.40625,0,95,100,98,91,99,94,100,87,83
5/18/20,91,96,88,95,98,68,94,100,32040,29940,2100,5790,19560,4590,38,93,1020,16290,,2020-05-17T21:27:40-07:00,2020-05-18T06:21:40-07:00,50.98,47,28,-0.11,16.625,59,100,100,1,1,59,100,184,2321,650,3662,3461,40,445,72,19,0,864,1.21875,0,90,94,99,86,93,100,95,87,60
5/19/20,80,78,58,97,95,70,75,100,27660,24960,2700,3810,15150,6000,36,90,1440,13830,,2020-05-18T22:50:00-07:00,2020-05-19T06:31:00-07:00,50.51,45,36,-0.07,15.875,58,100,100,1,1,54,100,115,2250,600,1894,1909,155,526,65,7,2,685,1.1875,0,86,67,93,0,96,100,95,90,63
5/20/20,89,97,92,80,97,69,81,100,32880,30210,2670,6060,20340,3810,41,92,1290,16620,,2020-05-19T21:28:48-07:00,2020-05-20T06:36:48-07:00,50.31,46,27,-0.04,16.375,57,100,100,1,1,45,100,45,2165,650,729,752,116,437,31,4,0,852,1.125,0,90,90,96,0,98,100,95,89,61
5/21/20,80,72,66,94,95,69,91,100,26340,23550,2790,4380,14670,4500,35,89,1080,13260,,2020-05-20T23:06:29-07:00,2020-05-21T06:25:29-07:00,52.47,48,26,-0.08,16.375,58,100,100,1,1,52,100,268,2418,500,4875,4977,125,445,84,32,1,753,1.28125,0,79,67,88,0,98,100,86,87,37
5/22/20,87,86,86,97,97,64,94,99,29340,26970,2370,5640,15030,6300,40,92,750,14460,,2020-05-21T22:59:20-07:00,2020-05-22T07:08:20-07:00,48.66,44,33,-0.1,16,57,100,95,1,1,51,100,206,2381,650,3549,3573,253,434,123,14,3,613,1.25,1,90,85,87,0,97,100,100,89,87
5/23/20,90,95,98,90,99,81,97,60,31200,29430,1770,8130,17010,4290,37,94,960,15840,,2020-05-22T23:54:22-07:00,2020-05-23T08:34:22-07:00,51.05,46,35,-0.33,16.375,55,99,78,1,1,50,100,209,2388,600,3547,3632,319,560,131,13,1,416,1.25,2,89,93,88,89,96,94,100,91,59
5/24/20,84,96,95,95,88,63,46,84,34440,29940,4500,6300,18960,4680,35,87,2070,17550,,2020-05-23T22:38:05-07:00,2020-05-24T08:12:05-07:00,54.57,51,26,0.3,17,65,100,100,1,40,70,100,426,2571,500,8509,7751,89,754,156,58,0,383,1.3125,0,84,78,90,90,96,79,50,88,100
5/25/20,93,100,96,96,100,77,72,100,41220,39000,2220,6810,26580,5610,38,95,300,20850,,2020-05-24T19:18:56-07:00,2020-05-25T06:45:56-07:00,49.39,45,31,0.09,16.25,64,100,100,1,40,65,100,194,2379,700,3639,3319,306,521,138,9,0,466,1.25,0,97,100,100,89,100,97,95,89,100
5/26/20,81,78,74,72,100,83,70,100,26040,25050,990,4920,16680,3450,33,96,210,12960,,2020-05-25T22:00:15-07:00,2020-05-26T05:14:15-07:00,47.92,45,30,-0.14,16.125,63,100,100,1,40,62,100,176,2334,650,3196,3167,186,437,96,14,1,706,1.21875,0,92,70,100,90,100,100,100,89,93
5/27/20,92,99,96,96,100,73,67,100,33600,31830,1770,6990,19590,5250,40,95,180,16410,,2020-05-26T21:47:14-07:00,2020-05-27T07:07:14-07:00,49.94,46,33,-0.05,15.875,62,100,100,1,40,54,100,79,2199,700,1327,1284,128,515,54,5,1,737,1.15625,0,96,98,100,0,99,100,100,90,83
5/28/20,79,66,58,97,99,80,83,100,23400,22050,1350,3840,11850,6360,30,94,510,11520,,2020-05-27T22:36:40-07:00,2020-05-28T05:06:40-07:00,50.25,47,36,-0.14,16.375,62,100,100,1,40,56,100,257,2423,600,4572,4754,135,431,116,28,0,730,1.28125,0,87,65,95,0,97,100,86,92,84
5/29/20,92,100,99,78,98,71,91,100,34500,32190,2310,8430,19980,3780,36,93,720,17280,,2020-05-28T21:46:29-07:00,2020-05-29T07:21:29-07:00,52.77,49,26,-0.05,16.375,62,100,100,1,40,52,100,158,2286,650,2554,2669,126,613,99,13,1,588,1.1875,0,90,98,99,0,97,100,78,89,69
5/30/20,90,100,97,95,96,64,64,98,37860,34620,3240,7470,22560,4590,40,91,1680,19320,,2020-05-29T21:41:00-07:00,2020-05-30T08:12:00-07:00,52.1,46,33,0.15,16.125,62,100,100,1,40,51,100,273,2429,650,5159,5035,129,543,154,16,2,596,1.28125,0,93,93,100,0,95,92,95,90,72
5/31/20,89,90,97,96,93,77,72,97,31440,27990,3450,7140,15570,5280,37,89,300,14730,,2020-05-30T22:59:53-07:00,2020-05-31T07:43:53-07:00,48.75,46,32,0.09,15.75,59,100,100,1,1,57,100,396,2571,700,7015,7293,136,613,203,25,2,461,1.34375,0,95,90,100,90,96,97,95,91,100
6/1/20,90,96,95,85,98,71,83,100,31680,29580,2100,6330,19200,4050,35,93,510,15510,,2020-05-31T22:04:29-07:00,2020-06-01T06:52:29-07:00,48.61,46,29,-0.04,16,61,100,100,1,1,72,100,330,2497,700,6508,6031,190,479,113,45,1,612,1.3125,0,95,92,100,88,99,100,95,90,100
6/2/20,86,90,95,97,93,59,67,100,31200,27870,3330,6390,15000,6480,44,89,150,15300,,2020-06-01T22:17:57-07:00,2020-06-02T06:57:57-07:00,47.41,44,33,-0.13,15.5,60,100,100,1,1,70,100,234,2389,700,4094,4133,125,535,153,13,2,612,1.25,0,95,82,100,88,99,100,100,90,100
6/3/20,90,95,96,96,96,70,78,100,32340,29280,3060,6600,16980,5700,38,91,1380,16380,,2020-06-02T22:07:18-07:00,2020-06-03T07:06:18-07:00,47.17,44,33,-0.19,15.5,60,100,100,1,1,64,100,124,2255,700,2154,2034,148,551,90,6,2,643,1.1875,0,97,92,100,0,99,98,100,91,100
6/4/20,90,89,96,97,100,75,78,100,28800,27660,1140,6600,14520,6540,36,96,390,14340,,2020-06-03T22:26:02-07:00,2020-06-04T06:26:02-07:00,49.43,45,34,-0.03,16.125,59,100,100,1,1,59,100,170,2333,700,2718,2777,175,469,112,9,3,672,1.21875,0,96,92,98,0,99,100,95,92,100
6/5/20,87,82,87,98,100,84,67,100,27000,25890,1110,5700,13080,7110,28,96,150,13320,,2020-06-04T22:36:14-07:00,2020-06-05T06:06:14-07:00,49.3,45,33,0.02,16.125,58,100,95,1,1,56,100,161,2321,600,2702,2832,233,417,81,18,1,690,1.21875,1,89,84,93,0,97,100,100,92,58
6/6/20,87,95,92,96,90,71,67,82,33360,29460,3900,6060,18330,5070,36,88,1620,17100,,2020-06-05T22:50:37-07:00,2020-06-06T08:06:37-07:00,50.06,45,38,-0.03,15.875,57,92,95,1,1,58,100,447,2697,650,7820,7883,430,661,322,26,1,0,1.40625,1,92,84,93,90,95,100,100,94,84
6/7/20,88,88,95,82,98,90,67,100,29520,27330,2190,6210,17190,3930,30,93,1620,15360,,2020-06-06T22:22:08-07:00,2020-06-07T06:34:08-07:00,52.24,46,33,-0.1,16.25,58,100,100,1,1,56,100,294,2487,600,5389,5044,193,554,211,10,3,469,1.28125,0,86,86,90,74,93,100,95,94,58
6/8/20,89,92,97,96,86,77,72,100,33000,28380,4620,7140,16020,5220,38,86,1500,16020,,2020-06-07T21:21:45-07:00,2020-06-08T06:31:45-07:00,46.3,43,36,-0.37,15.5,58,100,100,1,1,54,100,164,2311,650,2671,2972,89,462,80,13,2,794,1.21875,0,93,89,90,89,93,92,98,95,100
6/9/20,88,92,96,95,90,74,67,100,32340,28380,3960,6960,16620,4800,37,88,150,14760,,2020-06-08T22:46:00-07:00,2020-06-09T07:45:00-07:00,46.3,43,38,-0.39,14.875,59,100,100,1,1,57,100,276,2440,650,4869,4889,136,581,162,20,2,539,1.28125,0,93,86,90,0,95,92,93,96,100
6/10/20,82,86,88,80,69,69,83,100,33960,26880,7080,5790,17280,3810,38,79,1230,16140,,2020-06-09T21:52:41-07:00,2020-06-10T07:18:41-07:00,50.33,46,30,-0.02,15.875,56,78,100,1,1,64,100,443,2743,600,7819,7562,529,564,320,23,4,0,1.4375,0,88,71,87,90,95,100,84,94,100
6/11/20,83,89,95,63,95,72,56,100,30780,27690,3090,6300,18330,3060,31,90,1830,15780,,2020-06-10T21:34:10-07:00,2020-06-11T06:07:10-07:00,48.84,45,36,-0.1,15.75,60,100,100,1,1,66,100,239,2379,600,4359,4473,58,479,94,23,2,784,1.25,0,86,74,87,67,84,100,100,95,85
6/12/20,92,99,96,96,100,74,67,100,33120,31470,1650,6630,19200,5640,37,95,180,16140,,2020-06-11T22:03:00-07:00,2020-06-12T07:15:00-07:00,48.34,43,34,-0.14,15.875,54,75,60,1,1,78,100,551,2883,700,9751,9620,556,499,338,43,4,0,1.5,3,95,97,91,0,88,100,99,94,100
6/13/20,86,99,96,96,95,53,81,71,35160,31590,3570,6750,19650,5190,51,90,1320,17610,,2020-06-12T23:03:07-07:00,2020-06-13T08:49:07-07:00,48.92,45,37,0,15.25,62,100,100,1,1,80,100,268,2418,600,4175,4573,106,588,123,16,8,599,1.25,0,87,82,96,60,74,100,100,95,83
6/14/20,83,79,90,95,99,70,67,94,27180,25350,1830,5910,14580,4860,36,93,180,13260,,2020-06-13T23:30:20-07:00,2020-06-14T07:03:20-07:00,44.83,42,38,-0.2,15,61,100,100,1,1,70,100,272,2456,600,5258,5207,224,489,158,9,0,560,1.28125,0,89,74,90,0,78,98,95,96,100
6/15/20,91,96,97,95,98,75,75,98,32040,29700,2340,7500,17490,4710,38,93,1440,16260,,2020-06-14T22:33:08-07:00,2020-06-15T07:27:08-07:00,48.78,45,33,-0.13,15.875,58,100,100,1,1,56,100,19,2115,650,375,269,50,504,21,1,0,864,1.09375,0,92,94,93,89,79,100,99,95,89
6/16/20,79,64,74,97,96,81,75,100,24000,21720,2280,4890,10800,6030,30,91,1410,12420,,2020-06-15T22:43:29-07:00,2020-06-16T05:23:29-07:00,46.69,44,40,-0.41,15.125,59,100,95,1,1,61,100,282,2453,500,5347,5158,194,413,107,33,2,691,1.28125,1,84,64,83,0,85,91,100,96,75
6/17/20,92,91,95,97,97,82,91,100,30840,28200,2640,6360,15870,5970,29,91,1050,15330,,2020-06-16T22:43:01-07:00,2020-06-17T07:17:01-07:00,51.42,48,29,-0.08,16.125,65,92,100,25,1,67,100,622,2950,600,11663,11179,424,550,431,34,1,0,1.53125,0,87,97,83,88,87,100,71,93,100
6/18/20,85,91,97,90,90,66,56,100,31800,28080,3720,7320,16470,4290,43,88,1830,16140,,2020-06-17T22:09:55-07:00,2020-06-18T06:59:55-07:00,48.36,45,37,-0.11,15.375,66,100,100,25,1,63,100,170,2319,500,2987,2995,180,497,85,15,1,662,1.21875,0,84,79,83,64,71,100,89,94,100
6/19/20,90,95,98,96,99,72,67,100,31020,29220,1800,7920,15990,5310,34,94,150,15180,,2020-06-18T22:41:02-07:00,2020-06-19T07:18:02-07:00,48.7,44,30,-0.29,15.75,64,100,100,25,1,51,100,36,2130,650,722,667,37,558,31,0,0,814,1.125,0,91,92,85,0,76,95,100,92,100
6/20/20,96,100,99,95,100,86,89,100,34620,33240,1380,8310,20220,4710,36,96,1110,17520,,2020-06-19T21:53:32-07:00,2020-06-20T07:30:32-07:00,52.13,48,25,-0.01,16.375,56,59,78,25,1,51,100,323,2627,600,5795,5392,684,486,254,15,1,0,1.375,2,86,100,92,0,82,100,70,88,74
6/21/20,88,82,96,96,100,93,67,94,26820,26040,780,6600,13920,5520,31,97,180,13230,,2020-06-20T23:30:46-07:00,2020-06-21T06:57:46-07:00,51.07,46,33,0.23,15.875,63,100,100,25,1,46,100,141,2309,600,2369,2246,200,501,96,7,1,635,1.21875,0,85,86,89,68,80,85,98,88,69
6/22/20,94,95,98,95,100,83,91,100,31080,29340,1740,8130,16410,4800,34,94,1050,15780,,2020-06-21T22:17:02-07:00,2020-06-22T06:55:02-07:00,49.46,46,35,-0.02,16.125,63,100,100,25,1,42,100,140,2270,650,2404,2467,72,507,74,12,0,775,1.1875,0,91,100,91,0,85,100,80,88,100
6/23/20,87,83,95,67,97,80,97,100,28560,26190,2370,6300,16680,3210,36,92,930,14340,,2020-06-22T22:02:58-07:00,2020-06-23T05:58:58-07:00,47.48,44,31,-0.03,15.625,62,100,95,25,1,41,100,161,2327,600,2613,2875,197,442,84,12,2,703,1.21875,1,89,83,88,0,90,100,100,87,85
6/24/20,89,96,96,95,96,87,35,100,32940,30000,2940,6570,18870,4560,30,91,2310,17190,,2020-06-23T22:03:59-07:00,2020-06-24T07:12:59-07:00,48.93,44,33,0.04,15.875,69,85,95,25,40,73,100,734,3041,650,13521,13243,475,535,356,70,4,0,1.59375,1,90,88,91,0,95,100,100,87,74
6/25/20,88,80,74,97,99,91,91,100,27180,25470,1710,4830,14340,6300,31,94,1050,13950,,2020-06-24T21:50:19-07:00,2020-06-25T05:23:19-07:00,49.43,45,40,0.16,16.25,70,67,78,43,40,86,100,598,2908,500,10934,11106,620,447,334,38,1,0,1.53125,2,78,86,85,53,73,91,100,90,28
6/26/20,91,96,99,94,96,74,78,100,33180,30060,3120,8190,17370,4500,38,91,1350,16470,,2020-06-25T21:38:17-07:00,2020-06-26T06:51:17-07:00,50.4,45,27,-0.2,16,77,100,95,43,40,87,100,229,2395,500,3711,4047,182,468,109,15,4,662,1.25,1,80,93,88,55,57,98,69,87,91
6/27/20,89,93,92,95,100,72,67,97,30180,28710,1470,6060,17940,4710,39,95,180,14940,,2020-06-26T22:56:38-07:00,2020-06-27T07:19:38-07:00,51.14,48,30,-0.01,16.375,78,100,100,43,40,87,100,315,2453,500,5600,5921,195,696,149,29,0,371,1.25,0,83,88,88,0,62,100,79,86,85
6/28/20,89,96,97,77,100,72,67,100,31260,29610,1650,7080,18810,3720,42,95,150,15480,,2020-06-27T22:29:36-07:00,2020-06-28T07:10:36-07:00,50.76,46,35,-0.11,16.125,75,100,95,43,40,71,100,56,2178,500,1032,1002,167,418,48,2,0,805,1.15625,1,83,88,91,90,65,100,88,87,51
6/29/20,75,63,73,96,93,75,70,86,24240,21510,2730,4770,11610,5130,40,89,240,11100,,2020-06-29T00:21:23-07:00,2020-06-29T07:05:23-07:00,47.85,42,43,-0.24,16,87,100,100,60,71,98,100,1146,3351,500,16124,18170,79,503,145,47,72,594,1.75,0,80,53,81,0,72,97,97,91,85
6/30/20,89,100,98,84,98,70,67,87,35940,33390,2550,8040,21330,4020,41,93,180,17250,,2020-06-29T22:37:28-07:00,2020-06-30T08:36:28-07:00,51.5,47,30,0.07,16.25,87,100,100,60,71,98,100,168,2314,500,3031,2815,217,625,108,6,3,481,1.1875,0,81,88,88,56,64,99,69,89,96
7/1/20,92,97,99,97,100,78,78,90,31440,30150,1290,8340,15630,6180,32,96,420,15660,,2020-06-30T22:58:09-07:00,2020-07-01T07:42:09-07:00,51.59,47,34,0.38,16.125,87,100,100,60,71,100,100,1285,3540,500,22624,21196,265,601,209,130,39,196,1.84375,0,84,96,91,91,73,73,79,89,77
7/2/20,92,100,100,97,100,71,72,97,36720,35610,1110,9030,20340,6240,44,97,300,18240,,2020-07-01T22:01:02-07:00,2020-07-02T08:13:02-07:00,51.08,47,35,-0.11,16.25,83,100,100,43,71,100,100,176,2344,500,3271,2896,261,599,136,7,0,437,1.21875,0,82,95,100,29,46,100,79,90,100
